Feature,Importance
top_charge_at_arraign,0.5532224836430799
median_household_income,0.0983900799358776
known_days_in_custody,0.0735556563169236
judge_name,0.0597699613249461
county_name,0.0562356857604813
pend_misd,0.0419833208993475
age_at_arrest,0.0344266865349218
prior_vfo_cnt,0.0273353378642985
pend_vfo,0.0116056629808425
prior_misd_cnt,0.0108401374562089
prior_nonvfo_cnt,0.0097458441187032
gender,0.0073483234906095
ethnicity,0.0071094332318839
race,0.0068794041016546
pend_nonvfo,0.0015519823402204
